Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2021,Kepulauan Bangka Belitung,Kab. Belitung,"26,533.31","4,513.60",17.01,"7,172.98",27.03,"11,686.58",44.04,"4,511.07",8.4,17.03,P 2
2021,Kepulauan Bangka Belitung,Kab. Bangka Selatan,"29,247.45","5,331.58",18.23,"12,982.84",44.39,"18,314.41",62.62,"2,068.98",361.13,8.31,P 2
2021,Kepulauan Bangka Belitung,Kab. Bangka Tengah,"29,627.05","5,848.23",19.74,"4,777.85",16.13,"10,626.08",35.87,327.48,,1.11,P 2
2021,Kepulauan Bangka Belitung,Kab. Belitung Timur,"18,532.95",0,0,"11,552.72",62.34,"11,552.72",62.34,,,0,P 1
2021,Kepulauan Bangka Belitung,Kota Pangkal Pinang,"58,399.38","7,209.05",12.34,"48,937.37",83.8,"56,146.42",96.14,0,0,0,P 2
2021,Kepulauan Riau,Kota Tanjung Pinang,"55,366.32","11,812.73",21.34,"32,302.50",58.34,"44,115.23",79.68,"11,783.02",543.85,22.26,P 2
2021,DKI Jakarta,Kab. Adm. Kep. Seribu,"6,429.48","1,560.98",24.28,"4,791.80",74.53,"6,352.78",98.81,"1,393.35",329.42,26.79,P 2
2021,DKI Jakarta,Kota Adm. Jakarta Pusat,"309,298.18","74,370.68",24.04,"234,033.57",75.67,"308,404.25",99.71,"44,289.02","14,628.43",19.05,P 2
2021,DKI Jakarta,Kota Adm. Jakarta Utara,"494,454.86","119,690.62",24.21,"367,759.40",74.38,"487,450.02",98.58,"35,913.27",,7.26,P 2
2021,DKI Jakarta,Kota Adm. Jakarta Barat,"729,092.61","182,815.40",25.07,"544,177.17",74.64,"726,992.57",99.71,"56,994.70",161.69,7.84,P 2
2021,DKI Jakarta,Kota Adm. Jakarta Selatan,"707,201.35","171,622.21",24.27,"532,885.52",75.35,"704,507.73",99.62,"127,106.81",,17.97,P 2
