Time,Time Code,Provinces Name,Provinces Code,Household Access to safe Sanitation (in % of total Household) [HOU.STA.ACSN.ZS],Household Access to Safe Water (in % of total household) [HOU.H2O.ACSN.ZS]
2017,YR2017,"Boyolali, Kab.",ID.JT.BO,74.08672333,65.36312103
2017,YR2017,"Brebes, Kab.",ID.JT.BR,67.68725586,73.46683502
2017,YR2017,"Cilacap, Kab.",ID.JT.CI,84.09233856,75.5569458
2017,YR2017,"Demak, Kab.",ID.JT.DE,84.02751923,87.63175964
2017,YR2017,"Grobogan, Kab.",ID.JT.GR,80.37837219,78.8036499
2017,YR2017,"Jepara, Kab.",ID.JT.JE,78.60077667,68.33605194
2017,YR2017,"Karanganyar, Kab.",ID.JT.KA,90.91746521,75.87703705
2017,YR2017,"Kebumen, Kab.",ID.JT.KB,83.39949036,60.91890335
2017,YR2017,"Kendal, Kab.",ID.JT.KN,79.09099579,83.31981659
2017,YR2017,"Klaten, Kab.",ID.JT.KL,80.43323517,68.54984283
2017,YR2017,"Kudus, Kab.",ID.JT.KU,91.0154953,72.45645142
2017,YR2017,"Magelang, Kab.",ID.JT.MM,74.79515076,77.72496033
2017,YR2017,"Magelang, Kota",ID.JT.MG,84.32556915,91.81765747
2017,YR2017,"Pati, Kab.",ID.JT.PA,85.74684143,80.32797241
2017,YR2017,"Pekalongan, Kab.",ID.JT.PM,72.22021484,61.02787781
2017,YR2017,"Pekalongan, Kota",ID.JT.PK,80.16920471,69.90021515
2017,YR2017,"Pemalang, Kab.",ID.JT.PL,75.93766785,76.59092712
2017,YR2017,"Purbalingga, Kab.",ID.JT.PB,79.18343353,66.91592407
2017,YR2017,"Purworejo, Kab.",ID.JT.PW,79.88652802,66.53598022
2017,YR2017,"Rembang, Kab.",ID.JT.RE,75.01490784,76.06282806
2017,YR2017,"Salatiga, Kota",ID.JT.SA,80.50072479,90.60752106
2017,YR2017,"Semarang, Kab.",ID.JT.SM,87.87437439,82.8674469
2017,YR2017,"Semarang, Kota",ID.JT.SE,79.27746582,91.07636261
2017,YR2017,"Sragen, Kab.",ID.JT.SG,82.96949768,75.42751312
2017,YR2017,"Sukoharjo, Kab.",ID.JT.SH,84.48189545,80.11652374
2017,YR2017,"Surakarta, Kota",ID.JT.SK,73.00621796,82.4859848
2017,YR2017,"Tegal, Kab.",ID.JT.TM,79.89074707,73.55158234
2017,YR2017,"Tegal, Kota",ID.JT.TE,64.68447113,99.5736618
2017,YR2017,"Temanggung, Kab.",ID.JT.TG,82.14209747,78.61222839
2017,YR2017,"Wonogiri, Kab.",ID.JT.WG,92.13396454,73.26774597
2017,YR2017,"Wonosobo, Kab.",ID.JT.WS,72.91662598,85.69526672
2017,YR2017,"Bangkalan, Kab.",ID.JI.BK,86.94924927,65.02642822
2017,YR2017,"Banyuwangi, Kab.",ID.JI.BW,72.77780914,73.45175171
2017,YR2017,"Batu, Kota",ID.JI.BA,95.0809021,87.63808441
2017,YR2017,"Blitar, Kab.",ID.JI.BR,80.92298889,65.90624237
2017,YR2017,"Blitar, Kota",ID.JI.BL,87.76922607,66.37054443
2017,YR2017,"Bojonegoro, Kab.",ID.JI.BJ,77.53239441,83.40657043
2017,YR2017,"Bondowoso, Kab.",ID.JI.BD,31.09672356,64.58922577
2017,YR2017,"Gresik, Kab.",ID.JI.GR,90.7150116,97.31096649
2017,YR2017,"Jember, Kab.",ID.JI.JE,58.80438614,65.06855774
2017,YR2017,"Jombang, Kab.",ID.JI.JO,79.03821564,75.06196594
2017,YR2017,"Kediri, Kab.",ID.JI.KR,82.94681549,64.30851746
2017,YR2017,"Kediri, Kota",ID.JI.KD,84.17749786,71.42967224
2017,YR2017,"Lamongan, Kab.",ID.JI.LA,90.75868988,83.12136078
2017,YR2017,"Lumajang, Kab.",ID.JI.LU,73.53065491,66.08506012
2017,YR2017,"Madiun, Kab.",ID.JI.MN,84.22156525,74.5078125
2017,YR2017,"Madiun, Kota",ID.JI.MD,83.49044037,92.46094513
2017,YR2017,"Magetan, Kab.",ID.JI.MT,90.29870605,86.68781281
2017,YR2017,"Malang, Kab.",ID.JI.MG,87.36095428,75.54641724
2017,YR2017,"Malang, Kota",ID.JI.ML,80.53791046,87.94772339
2017,YR2017,"Mojokerto, Kab.",ID.JI.MK,81.07188416,71.98371124
2017,YR2017,"Mojokerto, Kota",ID.JI.MJ,87.38300323,81.78435516
2017,YR2017,"Nganjuk, Kab.",ID.JI.NJ,79.61705017,72.70154572
2017,YR2017,"Ngawi, Kab.",ID.JI.NW,76.25786591,78.22704315
2017,YR2017,"Pacitan, Kab.",ID.JI.PC,85.66616821,68.75924683
2017,YR2017,"Pamekasan, Kab.",ID.JI.PK,66.48457336,66.4708252
2017,YR2017,"Pasuruan, Kab.",ID.JI.PR,71.65031433,64.56367493
2017,YR2017,"Pasuruan, Kota",ID.JI.PS,74.14993286,88.23680878
2017,YR2017,"Ponorogo, Kab.",ID.JI.PG,81.99363708,72.61268616
2017,YR2017,"Probolinggo, Kab.",ID.JI.PL,50.33016968,63.22293854
2017,YR2017,"Probolinggo, Kota",ID.JI.PO,78.86688995,81.23688507
2017,YR2017,"Sampang, Kab.",ID.JI.SA,68.40253448,62.25365829
2017,YR2017,"Sidoarjo, Kab.",ID.JI.SD,90.42028046,82.75127411
2017,YR2017,"Situbondo, Kab.",ID.JI.SB,38.35078049,44.46687317
2017,YR2017,"Sumenep, Kab.",ID.JI.SM,58.06464386,72.40355682
2017,YR2017,"Surabaya, Kota",ID.JI.SR,74.08734131,100
2017,YR2017,"Trenggalek, Kab.",ID.JI.TR,73.81568909,48.34141541
2017,YR2017,"Tuban, Kab.",ID.JI.TB,75.16018677,82.56842041
2017,YR2017,"Tulungagung, Kab.",ID.JI.TG,85.43357086,69.95250702
2017,YR2017,"Bengkayang, Kab.",ID.KB.BE,76.03429413,30.04177475
2017,YR2017,"Kapuas Hulu, Kab.",ID.KB.KH,63.47581863,51.45267868
2017,YR2017,"Kayong Utara, Kab.",ID.KB.KU,77.31082916,30.66753197
2017,YR2017,"Ketapang, Kab.",ID.KB.KE,72.6794281,36.87289429
