Level,Provinces Name,Provinces Code,Time,Time Code,Household Access to Safe Water (in % of total household),Household Access to safe Sanitation (in % of total Household)
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2012,YR2012,31.78,43.19
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2013,YR2013,38.77256775,50.37464523
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2014,YR2014,34.87575531,52.91416168
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2015,YR2015,38.58192062,55.57837677
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2016,YR2016,39.04237747,56.79960251
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2017,YR2017,33.9513092,61.95492172
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2018,YR2018,45.12333679,62.33600235
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2019,YR2019,37.41244888,67.61051941
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2020,YR2020,41.54658127,73.55728149
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2011,YR2011,36.35339,41.88873
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2012,YR2012,35.85,49.75
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2013,YR2013,32.4367981,46.9152832
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2014,YR2014,35.15407562,51.5968399
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2015,YR2015,43.4021759,57.81279373
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2016,YR2016,41.19769669,58.72553635
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2017,YR2017,40.23023224,57.74147034
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2018,YR2018,41.49848938,64.2216568
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2019,YR2019,45.04739761,69.03614807
"Banten, Prop.","Pandeglang, Kab.",ID.BT.PA,2020,YR2020,47.40379333,74.22845459
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2011,YR2011,53.15749,45.27436
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2012,YR2012,59.7,49.57
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2013,YR2013,64.07294464,48.55911255
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2014,YR2014,62.99632263,56.38521957
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2015,YR2015,62.18869781,66.93585968
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2016,YR2016,65.639534,70.35799408
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2017,YR2017,62.55469894,70.70082092
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2018,YR2018,70.3135376,74.92446136
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2019,YR2019,73.03871918,80.86647034
"Banten, Prop.","Serang, Kab.",ID.BT.SE,2020,YR2020,71.93291473,80.43807983
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2011,YR2011,67.84169,63.51175
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2012,YR2012,69.68,63.3
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2013,YR2013,73.1778717,69.84435272
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2014,YR2014,75.00737,71.27407837
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2015,YR2015,77.47274017,72.28160095
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2016,YR2016,71.00746155,81.97093964
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2017,YR2017,77.32509613,85.35411072
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2018,YR2018,83.55458832,84.31521606
"Banten, Prop.","Tangerang, Kab.",ID.BT.TM,2019,YR2019,80.46860504,79.12575531
